hydroname,year,month,viv,fal,pob,pc1_clim,pc2_clim,pc3_clim,pc4_clim,pc5_clim,pc1_hidr,pc2_hidr,pc3_hidr,pc4_hidr,pc1_veg,pc2_veg,predicted_fal_rf,predicted_viv_rf,residual_fal_rf,residual_viv_rf,predicted_fal_xgb,predicted_viv_xgb,residual_fal_xgb,residual_viv_xgb,predicted_fal_svm,predicted_viv_svm,residual_fal_svm,residual_viv_svm
Hydro20,2010,1,184,25,1174,-2.245443418329206,-1.1795103382237693,-0.65551224651985,-0.05588028786819264,-0.09029622567810396,0.13948660853244524,-0.4448738357752589,-0.42663241992696577,-0.5502029831157936,0.6349085203632259,0.7287315930991731,53,189,-28,-5,30,184,-5,0,16,176,9,8
Hydro20,2010,2,157,17,1174,-2.142371428149558,-2.8728383987329966,0.3017686597122825,0.3607333689234845,-0.33910083267826274,-1.0189748167501664,-1.2498048826871089,-0.2637060448595743,-0.5512088151322043,-0.27669164594193535,1.4075681642863591,31,166,-14,-9,17,157,0,0,15,165,2,-8
Hydro20,2010,3,136,27,1174,-1.132161648781872,-3.832940233353474,1.8419904258938136,2.3617415665698265,-0.3124995809203478,-1.1993571288927751,-0.8668563690059448,-0.4636987476938372,-0.5147515854425143,-0.472890855073217,1.9652290150941072,67,160,-40,-24,64,137,-37,-1,13,144,14,-8
Hydro20,2010,4,146,14,1174,-0.29959573663708994,-1.1002777682291591,1.412533988711643,0.927015252963857,0.13370043236782317,0.01611790168725839,-1.7312347435097284,-0.067360636156643,-0.9151900075053316,-0.7296573237332256,2.133798895236809,21,280,-7,-134,14,243,0,-97,16,66,-2,80
Hydro20,2010,5,221,12,1174,0.9210054229183356,-0.9198822161302544,0.9128067845585864,0.42273321172419814,-1.1816621305301325,-0.15953726378172553,-1.347033408723406,-0.2988538282889188,-0.9252954065707834,-0.26105084202162515,1.7579931079510347,22,251,-10,-30,12,181,0,40,14,523,-2,-302
Hydro20,2010,6,432,41,1174,1.7212697222200843,0.05668871642209283,0.31815234109319407,1.122986089120246,0.06308995657840205,-0.0018710230846486,-2.081688590194322,-0.06401547111742817,-1.157458508741488,-0.20960837293096007,1.2789110359578175,43,380,-2,52,41,431,0,1,39,424,2,8
Hydro20,2010,7,246,66,1174,2.0079028879609333,0.45505008986517703,-0.02479431632303404,1.7219742859717884,0.5626144569428161,0.48156772251956864,-0.7795391507014675,-0.5568858100007823,-1.0824032025138843,0.8164459017238125,-0.0930831860622596,61,276,5,-30,67,247,-1,-1,64,254,2,-8
Hydro20,2010,8,137,14,1174,-0.23693639566887204,-0.2888258501177932,-0.6338364775382174,0.7128989289875174,0.8491220196216496,3.094847191104233,-1.980027726353332,-1.6578455461545991,1.0449221120026075,1.6313590028993574,-1.5048970520472955,27,155,-13,-18,15,137,-1,0,16,129,-2,8
Hydro20,2010,9,94,14,1174,-1.7840810603276576,-1.5851585152621923,-0.4586119849756546,0.5552490518903355,1.1305999937590192,3.181233876677948,-3.228939604305727,-2.131720562890991,2.136882632443852,2.0417303154571567,-2.02398075770014,34,147,-20,-53,45,94,-31,0,6,86,8,8
Hydro20,2010,10,175,36,1174,-1.549734025022528,-2.234645304037538,0.05194697455813264,-0.17173325849621351,0.8593807389973931,2.584924065789207,0.4249547637335076,-0.9664591942126572,-1.4135352739910865,1.676202552872169,-1.1483931574309432,66,201,-30,-26,37,175,-1,0,38,183,-2,-8
