hydroname,year,month,viv,fal,pob,pc1_clim,pc2_clim,pc3_clim,pc4_clim,pc1_hidr,pc2_hidr,pc3_hidr,pc4_hidr,pc1_veg,pc2_veg,pc3_veg,predicted_fal_rf,predicted_viv_rf,residual_fal_rf,residual_viv_rf,predicted_fal_xgb,predicted_viv_xgb,residual_fal_xgb,residual_viv_xgb,predicted_fal_svm,predicted_viv_svm,residual_fal_svm,residual_viv_svm
Hydro4,2013,7,174,26,189,3.2644862390479092,2.6121815922220386,-1.0778597437825708,-0.1497551572345094,-1.519034379712444,-0.832744233731781,-0.943315750614387,-0.09758209128830592,-0.8874052124650855,0.5702552485384889,-0.395852741960077,39,282,-13,-108,53,270,-27,-96,46,197,-20,-23
Hydro4,2013,8,364,55,189,2.633906364558029,1.217064684571987,-0.25263923282291567,0.578956033482229,-0.4425465024926605,0.23340770469055555,-0.4514489670276759,0.21650590195555788,0.22947349658102256,1.5307065831780335,-0.2048578672724028,45,327,10,37,47,364,8,0,47,330,8,34
Hydro4,2013,9,408,54,189,1.606273642707708,-0.01593435615659342,1.003929823389014,1.0536752654120378,1.7572641968997105,0.6415496836688195,-0.47313671031407545,0.1686777295054791,0.9138319194488176,2.073078423770916,-0.5511106271683497,45,317,9,91,41,408,13,0,35,206,19,202
Hydro4,2013,10,348,61,189,1.3727493642209476,0.682525947946477,1.1478000325783673,1.0629982373888656,0.04260718578763169,1.9827080520235851,-0.05677047918290445,0.1930003920656277,0.216036665797111,1.5739280009840948,-0.513071518361768,31,266,30,82,49,266,12,82,35,234,26,114
Hydro4,2013,11,203,33,189,1.764027435063177,1.6018290301067468,0.6728877451074458,1.012743550772279,0.36227682589675114,0.3004475123716622,-0.810123509546127,-0.07032428751588032,-0.5572302820886432,1.073181208125254,0.02365155432719601,29,203,4,0,30,165,3,38,25,268,8,-65
Hydro4,2013,12,287,78,189,1.405884078882966,0.4743464042919456,0.1027035110091232,0.05932002992637912,1.367168853848576,0.6751642009338067,-0.8126055054871872,-0.3298761764119722,-0.8677386495108521,0.5035715808413714,-0.701112391868074,52,245,26,42,39,287,39,0,27,197,51,90
Hydro4,2014,1,214,24,189,1.5610226294100185,0.8952789317059161,0.4289350070793998,-0.19190997022174955,0.6797091182360786,0.3693181296466702,-0.993916590474792,-0.5691749818479171,-0.9202649581183292,0.7072106390306758,0.20893495323768596,25,236,-1,-22,31,201,-7,13,32,197,-8,17
Hydro4,2014,2,146,7,189,1.6011761091714538,1.741208691231104,1.0750041008748783,1.1906280836077654,-1.2202076175884593,-0.167885067501802,-0.9843209575088612,-0.33496037723407035,-1.1037034690690355,0.4527339924008366,-0.0648673852789782,16,182,-9,-36,28,146,-21,0,20,168,-13,-22
Hydro4,2014,3,136,6,189,1.7274590824145044,2.585707767305124,0.6510178359949947,-0.5375087356337082,-1.1383495888126778,0.08870437467610676,-0.8837700483497779,-0.28956994576400724,-1.825827958183127,-0.2875558479969388,-0.6443964739960135,17,167,-11,-31,30,136,-24,0,12,114,-6,22
Hydro4,2014,4,225,4,189,1.80760725974292,1.6137738427369903,0.06492965923691654,-0.1875246778835584,-1.993569164603596,0.0389162748135172,-0.9470124277940551,-0.2746668192939992,-2.5617278318202383,-0.8774103813937402,-0.5421102443201311,12,225,-8,0,29,225,-25,0,24,172,-20,53
Hydro4,2014,5,218,6,189,2.2126130992552473,2.171417822901094,-0.23976492798716464,-0.8070883940546936,-2.0357826008079876,-0.1001625977271674,-0.9199108592156822,-0.23916375785166433,-3.3304505451679867,-1.2140616640879642,0.3690617310827051,17,263,-11,-45,34,218,-28,0,24,196,-18,22
Hydro4,2014,6,342,30,189,2.8710626899588676,1.616678495514645,-0.8555932383455598,-0.5797420142122527,-1.991825506198332,-0.17360105216905525,-0.964706402771152,-0.2853845981530239,-3.098004563351097,-0.6457722245488439,1.5009751726518663,32,359,-2,-17,37,342,-7,0,38,320,-8,22
Hydro4,2014,7,715,88,189,3.090184402333118,2.2513341266563267,-0.7503765988126927,0.601407614322913,-2.0256705886460336,-0.2341083183949365,-0.9277639321046176,-0.2177025970316218,-2.2718907484253963,0.27790726220434886,2.2731869565684653,44,548,44,167,33,715,55,0,48,693,40,22
Hydro4,2014,8,678,46,189,2.1917864103389832,0.8396315717900269,0.09262875404463396,0.753161483248008,-0.09830708290993616,1.0058618392432854,-0.31193864654288633,0.11431319838951268,-0.2191436347569985,1.43445244363805,0.6799970081949294,41,537,5,141,49,678,-3,0,56,466,-10,212
Hydro4,2014,9,623,72,189,1.3599542513305338,-0.01289134178145356,1.9385721194333252,1.3610581994719009,-0.09818292652766895,2.4700007566346387,0.36354120309677096,0.6057444787855538,0.5474982751974156,1.9934418395773457,0.18505629238584695,51,507,21,116,90,623,-18,0,83,423,-11,200
Hydro4,2014,10,230,19,189,1.395124724741764,0.32023749855617106,0.3155036943656148,0.7263006709698542,-1.7937192283816612,1.5022332091514898,0.02920895609336438,0.5751194895424564,-0.00689431738842889,1.5280953626353937,-0.09959262237661304,31,298,-12,-68,35,230,-16,0,35,237,-16,-7
Hydro4,2014,11,340,24,189,1.765889775056012,1.0713613098153243,0.04103358230995536,0.2678183606811013,-0.5604216046464612,0.1550485801163737,-0.4512934551288088,0.2903711364881461,-0.10556540376595858,1.1684754251462743,-0.8460360269010732,39,296,-15,44,35,254,-11,86,38,215,-14,125
Hydro4,2014,12,274,15,189,1.612408325902205,0.8015988060251513,0.28978427453357053,0.0366019406655823,0.1837289707199821,0.2682990822538027,-0.5088317284613715,0.22806425618109089,-0.6453565588079078,0.5534192184920492,-1.167743669105603,24,274,-9,0,43,274,-28,0,41,219,-26,55
Hydro4,2015,1,457,54,189,2.156752523235554,1.3513796021186288,0.3705517045373652,0.6462147058350909,-0.8465766917688855,0.11219348551986792,-0.6007798071047694,0.1172807529424868,-3.4804540981992695,0.1702269513041045,5.096937088315101,56,414,-2,43,49,457,5,0,62,435,-8,22
Hydro4,2015,2,347,17,189,1.3797875602504266,1.7037128939391446,1.5165735844281791,0.20021554258559587,-0.9407266016344148,-0.5171843635000593,-0.7835708766082827,-0.0422119103375298,-1.3907309735906226,0.3928164989286734,0.47939890067361746,51,226,-34,121,32,225,-15,122,40,176,-23,171
Hydro4,2015,3,458,77,189,1.838946151087782,2.56518462395909,0.6570238762705368,-0.3365643270757646,-3.11578862177274,0.6875566179167134,-0.29607274816261797,0.48736404601819144,-2.098028345168909,-0.3442094875136017,-0.13045906162388654,78,411,-1,47,58,458,19,0,65,285,12,173
Hydro4,2015,4,277,46,189,2.305865138652024,2.6751453815334343,0.14620427493545007,-0.4339821149279753,-4.093658507270179,-0.1529428467554224,-0.3869332661033549,0.6595692949735108,-3.562904221256633,-1.0853785631330914,1.3428313484203012,91,314,-45,-37,84,277,-38,0,107,291,-61,-14
Hydro4,2015,5,349,104,189,2.3663310145208416,2.5456786456373295,0.701668988081313,0.36963774209361033,-2.223864565840332,0.11499488572515872,-0.12874059167086654,0.734152830923885,-3.66704604246308,-1.2820244279777482,0.9771083568153384,91,381,13,-32,71,428,33,-79,95,368,9,-19
Hydro4,2015,6,378,110,189,3.1109979921866024,2.5122336959632556,-0.41355846140704466,-1.053040269421255,-5.991833220389861,0.29440596970440236,-0.4123906186907107,0.7210286372502104,-2.3922955891032793,-0.4983585961203364,0.16154300235183006,106,386,4,-8,103,404,7,-26,105,402,5,-24
Hydro4,2015,7,401,86,189,2.6914301583104265,2.178946980248068,-0.5520947985636636,-0.12009248314801764,-6.442352931909436,1.7001808826316624,0.1416270276807211,1.1517217068229066,-1.2138165007216128,0.4995628565569695,0.25660327603533056,104,423,-18,-22,109,401,-23,0,96,379,-10,22
Hydro4,2015,8,589,176,189,1.6942321618751166,-0.03914420168045306,0.8608392551158479,-0.06356797816099849,0.7361817479848889,-0.01745929259694922,-0.18154157916010183,1.720552532867491,0.10133705086301333,1.5017971283607816,0.06647243269731579,130,500,46,89,101,589,75,0,101,438,75,151
Hydro4,2015,9,526,150,189,1.0954150039066488,-1.2262985590248592,3.80686367750002,-1.2731957935452214,2.471969464744742,-0.6980634613193072,-0.7616699365061717,2.5498541423357692,0.6292562045894248,2.009737357948232,0.04015129632148395,112,426,38,100,84,526,66,0,143,504,7,22
Hydro4,2015,10,503,182,189,0.7551519043188344,-0.31247599020698963,1.95438569251624,1.4434818135261236,-1.0810772082745994,2.098977359472042,0.43746126906047467,0.8813929653091332,0.26282338715918596,1.584750343374017,-0.6156412028916631,59,280,123,223,64,350,118,153,93,442,89,61
