hydroname,year,month,viv,fal,pob,pc1_clim,pc2_clim,pc3_clim,pc4_clim,pc5_clim,pc1_hidr,pc2_hidr,pc3_hidr,pc4_hidr,pc1_veg,pc2_veg,predicted_fal_rf,predicted_viv_rf,residual_fal_rf,residual_viv_rf,predicted_fal_xgb,predicted_viv_xgb,residual_fal_xgb,residual_viv_xgb,predicted_fal_svm,predicted_viv_svm,residual_fal_svm,residual_viv_svm
Hydro23,2012,3,8,0,110,-1.1207676495019758,0.1552265251275579,-2.10540134100355,1.1161915954492485,-0.3892878108863336,1.583172851740736,-0.1847044985366159,0.8286179123937338,-1.3904789612257595,0.6585675612206812,-2.343213631668423,4,34,-4,-26,2,-32,-2,40,4,24,-4,-16
Hydro23,2012,4,1,0,110,-0.2796244892189228,0.0755285425449835,-0.6083020719328782,0.5328438651217162,-0.5359462023213953,1.537351877396272,2.052206529688794,0.0773446168866917,-1.6041785009174592,0.4688378577272543,-2.5004342799394297,4,8,-4,-7,-5,-0,5,1,-3,-13,3,14
Hydro23,2012,5,3,0,110,-1.2241978054116314,-0.2035883052977771,-0.759959434401318,0.16040154733991846,-0.4605339921074627,0.7697599854698498,1.0394103476361298,0.3896550362484059,-1.2847692292757034,0.4712965499644364,-2.460978501891653,14,30,-14,-27,-1,2,1,1,-2,17,2,-14
Hydro23,2012,6,4,0,110,-2.283029697553256,-0.7178910567824478,0.12141596653879363,0.2987017362815849,-0.09374746936723334,0.9833066192832516,0.6462801520860987,0.35763712593806707,-1.1081972799598172,1.22704721659812,-1.8114091700336712,3,4,-3,0,3,4,-3,0,-5,-10,5,14
Hydro23,2012,7,0,0,110,-2.224997657904872,-0.4912185617554981,-0.03669504533851439,-0.00112046182047403,0.0664770596285012,-1.7379090833698998,-0.4291936236735982,0.08207707081537641,-1.8429859798291903,2.1648693242903603,-0.8092177667922185,14,8,-14,-8,7,2,-7,-2,2,21,-2,-21
Hydro23,2012,8,0,0,110,-0.729459429287703,0.5442303857723458,0.8005907557103443,0.8473994204264599,0.5031054655523087,-2.8294166937923415,-0.44242282098001456,-0.6764796492422782,-2.9117572307248936,3.2666226529558764,0.1880295248820228,4,16,-4,-16,10,0,-10,0,5,14,-5,-14
Hydro23,2012,9,0,1,110,0.32574317293936605,0.8256398847366992,0.42565057139250584,0.5901860077395176,0.736213481679493,-2.0340265749686837,0.9437492437428898,-0.4222773449354023,-0.18286633615143497,3.773967239398699,0.5400910670435592,10,12,-9,-12,16,2,-15,-2,-4,33,5,-33
Hydro23,2012,10,3,0,110,0.837353569249121,1.869302595773089,-0.19361444203373257,1.103655791203959,-0.6563736992147415,-0.84233312266600735,2.2270799876972074,-0.5913375001107402,-0.334579938617042,3.1732921056107823,-0.16458996150606348,8,43,-8,-40,13,2,-13,1,5,14,-5,-11
Hydro23,2012,11,5,0,110,1.247293056120331,0.7233878296726504,0.6860872608367047,2.012147225161357,0.25801006684825245,-0.08928780454174468,3.6948287806142033,-1.0122063334240263,-0.7571223698780846,2.3900563611276695,-0.8460319130376104,3,13,-3,-8,3,6,-3,-1,3,-4,-3,9
Hydro23,2012,12,1,0,110,0.1010176136221136,0.8175345968167457,0.1211926951192034,2.162067552619997,0.01738029284723959,-0.7617223761178962,1.8034726234756977,-0.28747210924675337,-0.5074850366655617,1.7344682904322295,-1.6149501773415549,4,11,-4,-10,5,1,-5,0,-5,-5,5,6
Hydro23,2013,1,34,0,110,-0.01732771262335775,0.32210032392474103,0.11007713093565148,1.3260724325200717,-0.28421504957788757,-0.06060917032654086,1.1330695121408725,-0.13511290499699094,-0.5259698327795598,1.0321962780054936,-1.9885748823276208,3,16,-3,18,-4,3,4,31,-4,12,4,22
Hydro23,2013,2,3,0,110,-0.5513965205880551,-0.0748850630739783,-0.8282399010438357,1.1547534059082163,-0.9039097988653908,0.6764766411394649,0.21873132628229464,0.16043652625888,-0.5990030258535691,1.0030173523371937,-2.1754423114471164,5,39,-5,-36,-7,27,7,-24,-5,-18,5,21
Hydro23,2013,3,0,0,110,0.31723172459184024,-0.01681962352225198,-2.081623901979756,1.3132572348427027,-0.9500181488298588,0.19523273975578484,0.06983546344611652,0.1552719558319327,-0.4042198428881444,0.4938529962231052,-2.408661005381342,5,26,-5,-26,-3,-1,3,1,2,26,-2,-26
Hydro23,2013,4,0,0,110,-0.0163949658943322,0.3023407191131802,-0.5174931123356812,1.7014262251550507,-1.4404037446267877,-1.4550072792114597,0.43986524625442514,-0.0297270682295494,0.0274991923681677,0.5649488962307494,-2.524572381667406,3,12,-3,-12,-3,2,3,-2,5,1,-5,-1
Hydro23,2013,5,1,0,110,-0.8205179905498409,-0.06921250892154832,-0.5505216004861381,0.2809445910608098,-0.2481544753560072,2.873789905249754,1.3646518584787235,-0.63529922496226,-0.7728602208176278,0.5940976220859249,-2.436134070330733,6,26,-6,-25,4,4,-4,-3,5,44,-5,-43
Hydro23,2013,6,6,0,110,-2.0430195961516153,-0.5859317794182881,-0.6375087462529265,-0.28405221547856646,0.1488356461236033,1.3760070354697882,-0.5323496109115317,0.133252811554249,-0.37122693991916533,1.358920999545223,-1.7914069463108433,9,28,-9,-22,17,5,-17,1,25,107,-25,-101
Hydro23,2013,7,15,0,110,-3.2341702019702874,-0.9947199243881356,-0.1977477450343414,-0.04103007433872008,-0.30267208841656923,0.8088995660668352,0.27210726230496957,-0.01003401955445093,-0.4609592071251354,2.140558469110393,-0.8004633479128921,9,20,-9,-5,11,13,-11,2,-1,4,1,11
Hydro23,2013,8,18,0,110,-1.824933361190734,0.24867182310810465,0.06485408687810573,-0.08729339677436003,0.5867624033145082,-1.290087156317269,0.7874422491980441,-0.03016021496260224,-0.18113643662530904,3.3619312279180833,0.210190394152315,7,83,-7,-65,7,10,-7,8,15,63,-15,-45
Hydro23,2013,9,24,0,110,0.10632739012171682,0.38678201813234775,0.21890244998963893,0.6146366868916358,0.8638747877879253,-1.3662269798286977,1.3697931407044217,-0.2728783300031419,-0.16699496686607868,3.654151505876833,0.5191490925295102,8,31,-8,-7,16,24,-16,0,5,38,-5,-14
Hydro23,2013,10,22,0,110,0.26430242590787056,0.4240701901027265,-0.27174073279556654,1.2446495622400515,0.4385966891740715,-0.5573567136918927,2.954471492618194,-0.8062835462130776,-0.5204116952139634,3.2201001521044654,-0.15089561454058636,18,58,-18,-36,20,23,-20,-1,2,36,-2,-14
Hydro23,2013,11,28,0,110,0.06597891923956678,0.28720826913387565,0.1881860981289352,2.000124174924092,0.6314863791903762,-1.6412533353926828,1.9344845425020532,-0.4153086376968111,-0.2115038930420683,2.6482182581499756,-0.8105211748304287,9,32,-9,-4,14,25,-14,3,-5,-0,5,28
Hydro23,2013,12,28,1,110,0.4302851528100018,1.490766044299722,-0.5400005158487475,2.7369120980665707,-0.7248276159766649,-2.2571917618103163,2.56190359407564,-0.6208283935061092,-0.13163348204037958,1.7037876572974415,-1.6434258185683066,15,47,-14,-19,7,28,-6,0,6,14,-5,14
Hydro23,2014,1,87,0,110,-0.11664356500945332,0.5596970880086845,-0.3003742579041379,1.472886819790522,-0.11689121430380572,-0.6375879989542752,0.32205855038633463,-0.110139254626676,-0.02031230711046618,0.6991188544482821,-2.0722877853399035,5,61,-5,26,2,85,-2,2,6,46,-6,41
Hydro23,2014,2,42,1,110,-0.09460756887837568,0.20453730752006136,-1.2168804794969936,0.6696998572105632,-0.5079511758552541,0.4370615615378167,-0.5297480775303087,0.0969175691960374,-0.1037031096838629,0.5841444604882146,-2.262746962793725,32,61,-31,-19,6,45,-5,-3,18,62,-17,-20
Hydro23,2014,3,60,0,110,-0.6554982917452274,-0.693760394120115,-1.3347773540530996,1.4682485531503335,-1.2151979375378976,1.0577255645211587,0.33970805013894895,-0.19710610298212375,-0.33884318877202657,0.3752040548520794,-2.410815350562703,10,63,-10,-3,-0,61,0,-1,-5,4,5,56
Hydro23,2014,4,47,4,110,-0.8149984778090973,-0.08614634469923065,-0.9733256767412166,0.8746387565176066,-0.5042997259059105,-0.03285381285385063,-0.6018854887301507,0.092840215434763,0.04975167450640138,0.2543920898757269,-2.5612625458827853,15,72,-11,-25,4,49,0,-2,13,73,-9,-26
Hydro23,2014,5,76,2,110,-0.7917892483011316,-0.22830467720183556,-0.6716410532440376,0.3295588040162996,-0.8983382939406774,1.5287653227147966,0.7576261205450283,-0.4537604092423159,-0.3609073194676252,0.198599596809916,-2.4657512944087343,17,73,-15,3,14,78,-12,-2,10,62,-8,14
Hydro23,2014,6,21,1,110,-1.657167136595438,-0.6601079182897966,-0.082465200160371,0.13230730552180395,0.09591950293578344,1.535968438815991,0.2698043488547218,-0.26076705943644307,-0.34720771387152566,0.699289721721209,-1.862017789802377,11,18,-10,3,5,18,-4,3,18,75,-17,-54
Hydro23,2014,7,44,19,110,-2.86066308495111,-0.967708339520554,-0.1722007051454958,-0.35304217005785254,0.7895855408376873,1.6646687756346266,0.5466995561633304,-0.1719844608989798,-0.6151965192727071,2.0947816220244313,-0.7995143078095919,34,51,-15,-7,20,44,-1,0,22,101,-3,-57
Hydro23,2014,8,48,1,110,-1.1290359219101855,-0.17412273065076594,0.44942712826904135,0.20725359065638155,0.7280432533018104,-0.28305583403314427,2.1212704575705184,-0.39644615944247413,-0.652566730723839,3.103974137728047,0.15412319816180797,20,56,-19,-8,34,49,-33,-1,21,62,-20,-14
Hydro23,2014,9,28,1,110,0.6472185559911305,0.9144609628314648,0.5579430843808577,0.5518821426102685,0.6426845293890551,-2.3825072104692784,2.013064168770498,-0.35350640641702985,-0.4248725857502126,3.467925794399477,0.4646966592752082,11,47,-10,-19,17,26,-16,2,15,59,-14,-31
